Introduction,Author 1,Author 2,Author 3,Author 4,Author 5,Journal,Year,Citations
,Jing,Mun,Rong,Fei,None,Journal of Public Economics,"Volume 200, August 2021, 104470",70
,Youssef,Jarkko,None,None,None,Journal of Public Economics,"Volume 200, August 2021, 104472",9
,None,None,None,None,None,Journal of Public Economics,"Volume 199, July 2021, 104465",0
,Matthieu,None,None,None,None,Journal of Public Economics,"Volume 199, July 2021, 104428",6
,Yu-Hsiang,None,None,None,None,Journal of Public Economics,"Volume 199, July 2021, 104427",6
,Stefan,Jessica,None,None,None,Journal of Public Economics,"Volume 199, July 2021, 104439",5
,Ila,Alex,Robin,Peter,Baboucarr,Journal of Public Economics,"Volume 199, July 2021, 104385",4
,Nicole,Kathleen,Alexander,None,None,Journal of Public Economics,"Volume 199, July 2021, 104410",15
,Lev,Katya,David,None,None,Journal of Public Economics,"Volume 199, July 2021, 104423",4
,Silvia,Max,Robert,None,None,Journal of Public Economics,"Volume 199, July 2021, 104409",0
,Jing,Monica,Seth,None,None,Journal of Public Economics,"Volume 199, July 2021, 104441",29
,None,None,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104452",0
,Massimo,Pablo,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104387",32
,Martín,Carlos,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104399",12
,James,Marta,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104391",19
,Katinka,Kristoffer,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104406",2
,Colleen,None,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104401",0
,Unknown,Michael,Nikolaj,David,None,Journal of Public Economics,"Volume 198, June 2021, 104366",13
,Alexander,None,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104388",0
,Giacomo,Guido,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104420",1
,Michael,Melissa,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104425",10
,Paul,Edgar,Carlos,None,None,Journal of Public Economics,"Volume 198, June 2021, 104422",12
,Monisankar,Shresth,Tishara,Tridip,None,Journal of Public Economics,"Volume 198, June 2021, 104411",4
,Xiaoyong,Liutang,Wenjian,None,None,Journal of Public Economics,"Volume 198, June 2021, 104421",1
,Patrick,None,None,None,None,Journal of Public Economics,"Volume 198, June 2021, 104424",2
,Ingo,Marc,Nico,None,None,Journal of Public Economics,"Volume 198, June 2021, 104426",32
,None,None,None,None,None,Journal of Public Economics,"Volume 197, May 2021, 104434",0
,Dylan,Joel,None,None,None,Journal of Public Economics,"Volume 197, May 2021, 104384",6
,Gabriel,John,None,None,None,Journal of Public Economics,"Volume 197, May 2021, 104398",17
,Sakai,None,None,None,None,Journal of Public Economics,"Volume 197, May 2021, 104404",4
,Daniel,Núria,None,None,None,Journal of Public Economics,"Volume 197, May 2021, 104407",10
,Colleen,Ethan,Sarah,None,None,Journal of Public Economics,"Volume 197, May 2021, 104402",10
,Hessel,Sándor,Bas,None,None,Journal of Public Economics,"Volume 197, May 2021, 104400",5
,Daixin,Langchuan,Xiaxin,None,None,Journal of Public Economics,"Volume 197, May 2021, 104375",5
,Signe-Mary,Caroline,Breno,None,None,Journal of Public Economics,"Volume 197, May 2021, 104403",17
,Benjamin,Vincent,Tavneet,None,None,Journal of Public Economics,"Volume 197, May 2021, 104332",4
,Lancelot,François,None,None,None,Journal of Public Economics,"Volume 197, May 2021, 104386",1
,Kilian,Matthew,Cheng,None,None,Journal of Public Economics,"Volume 197, May 2021, 104408",23
,Clara,None,None,None,None,Journal of Public Economics,"Volume 197, May 2021, 104405",1
,None,None,None,None,None,Journal of Public Economics,"Volume 196, April 2021, 104417",0
,Amanda,John,Anya,None,None,Journal of Public Economics,"Volume 196, April 2021, 104382",1
,Jacob,Maggie,None,None,None,Journal of Public Economics,"Volume 196, April 2021, 104355",10
,Ran,Victor,Santiago,None,None,Journal of Public Economics,"Volume 196, April 2021, 104369",3
,Ellen,Katrina,None,None,None,Journal of Public Economics,"Volume 196, April 2021, 104374",11
,Ruixue,Hongbin,None,None,None,Journal of Public Economics,"Volume 196, April 2021, 104371",30
,Teresa,Ivan,None,None,None,Journal of Public Economics,"Volume 196, April 2021, 104383",2
,Johan,Mathias,Erik,Mirjam,None,Journal of Public Economics,"Volume 196, April 2021, 104372",3
,Charlie,Advik,Pierre-Luc,None,None,Journal of Public Economics,"Volume 196, April 2021, 104319",10
,Naomi,Laura,Elena,Nirupama,Michael,Journal of Public Economics,"Volume 196, April 2021, 104370",5
,Jean-Victor,Harald,Jan,None,None,Journal of Public Economics,"Volume 196, April 2021, 104373",56
,Anders,Jens,Lina,Gustav,None,Journal of Public Economics,"Volume 196, April 2021, 104390",4
,Raymond,Hui,Cong,Yongxiang,Daxuan,Journal of Public Economics,"Volume 196, April 2021, 104389",12
,None,None,None,None,None,Journal of Public Economics,"Volume 195, March 2021, 104395",0
,Toshiaki,Katsuhiko,Brian,Karen,None,Journal of Public Economics,"Volume 195, March 2021, 104368",9
,Sabyasachi,Souvik,Abhirup,None,None,Journal of Public Economics,"Volume 195, March 2021, 104331",0
,Reo,Izumi,None,None,None,Journal of Public Economics,"Volume 195, March 2021, 104364",42
,Pol,Armando,Florian,Erik,None,Journal of Public Economics,"Volume 195, March 2021, 104367",128
,Emanuel,None,None,None,None,Journal of Public Economics,"Volume 195, March 2021, 104365",6
,Charles,Ryan,None,None,None,Journal of Public Economics,"Volume 195, March 2021, 104320",2
,Samuel,Martin,Mesay,None,None,Journal of Public Economics,"Volume 195, March 2021, 104357",57
,None,None,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104379",0
,Eugen,Robert,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104329",13
,Sílvia,Arndt,Christoph,None,None,Journal of Public Economics,"Volume 194, February 2021, 104314",11
,Vojtěch,Ian,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104347",2
,Stephan,Holger,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104322",62
,Manuel,Pamela,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104315",32
,Katy,William,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104330",2
,Esther,Daniel,Natalia,None,None,Journal of Public Economics,"Volume 194, February 2021, 104350",60
,Junxue,Xuan,Guangrong,None,None,Journal of Public Economics,"Volume 194, February 2021, 104352",32
,Ruben,Luigi,Giorgio,None,None,Journal of Public Economics,"Volume 194, February 2021, 104342",114
,Gregorio,Hugh,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104335",3
,Bertrand,None,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104353",3
,Lena,Thomas,Roland,None,None,Journal of Public Economics,"Volume 194, February 2021, 104349",64
,Giacomo,Domenico,Marco,Luigi,None,Journal of Public Economics,"Volume 194, February 2021, 104356",13
,Serdar,Fatih,Yusuf,Kurt,None,Journal of Public Economics,"Volume 194, February 2021, 104348",19
,Isabelle,Juan,Mallory,None,None,Journal of Public Economics,"Volume 194, February 2021, 104351",4
,Sangmin,Sang,Yongseok,None,None,Journal of Public Economics,"Volume 194, February 2021, 104354",44
,David,None,None,None,None,Journal of Public Economics,"Volume 194, February 2021, 104344",78
,Georgy,Ruben,Alexey,Maria,None,Journal of Public Economics,"Volume 194, February 2021, 104328",19
,None,None,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104361",0
,John,Efraim,Yael,Paola,Luigi,Journal of Public Economics,"Volume 193, January 2021, 104310",149
,Austan,Chad,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104311",342
,Timothy,Bhashkar,Ashley,None,None,Journal of Public Economics,"Volume 193, January 2021, 104307",21
,Paul,None,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104308",15
,Ulrich,None,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104309",3
,Unknown,Unknown,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104313",12
,Daiki,Atsushi,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104324",2
,Jean,Mahreen,Jonathan,Saravana,Abu,Journal of Public Economics,"Volume 193, January 2021, 104312",35
,Andreas,Amelie,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104326",8
,Daniel,Erik,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104321",35
,Thomas,Paul,Hamish,None,None,Journal of Public Economics,"Volume 193, January 2021, 104334",102
,Mariacristina,Giulio,Marike,Gonzalo,Raun,Journal of Public Economics,"Volume 193, January 2021, 104327",22
,Barry,Cevat,Orkun,None,None,Journal of Public Economics,"Volume 193, January 2021, 104343",62
,Andrew,Joshua,Christine,None,None,Journal of Public Economics,"Volume 193, January 2021, 104345",158
,Abel,Andrew,Sarah,Nattavudh,None,Journal of Public Economics,"Volume 193, January 2021, 104346",283
,Anne,Arnaud,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104323",8
,Juan,None,None,None,None,Journal of Public Economics,"Volume 193, January 2021, 104325",7
,None,None,None,None,None,Journal of Public Economics,"Volume 192, December 2020, 104339",0
,Kenneth,Robert,Huanan,None,None,Journal of Public Economics,"Volume 192, December 2020, 104287",169
,Andrea,Jason,Analisa,None,None,Journal of Public Economics,"Volume 192, December 2020, 104288",8
,Maarten,Raymond,None,None,None,Journal of Public Economics,"Volume 192, December 2020, 104297",11
,James,Daniel,Susan,None,None,Journal of Public Economics,"Volume 192, December 2020, 104298",12
,Olivier,Ulugbek,None,None,None,Journal of Public Economics,"Volume 192, December 2020, 104316",373
,Nathaniel,None,None,None,None,Journal of Public Economics,"Volume 192, December 2020, 104306",1
,None,None,None,None,None,Journal of Public Economics,"Volume 191, November 2020, 104302",0
,Andreas,Stefan,Jean-Philippe,Josef,None,Journal of Public Economics,"Volume 191, November 2020, 104087",24
,Hyejin,Uta,Ragnhild,None,None,Journal of Public Economics,"Volume 191, November 2020, 104105",25
,Jeehoon,Bruce,James,None,None,Journal of Public Economics,"Volume 191, November 2020, 104106",3
,Fabian,Lukas,Dominik,None,None,Journal of Public Economics,"Volume 191, November 2020, 104127",9
,Orazio,Richard,Gabriella,Giacomo,None,Journal of Public Economics,"Volume 191, November 2020, 104171",36
,Giovanni,Salvatore,Paolo,None,None,Journal of Public Economics,"Volume 191, November 2020, 104262",0
,Esteban,Jacob,Maria,Basit,None,Journal of Public Economics,"Volume 191, November 2020, 104271",458
,Xavier,Martin,None,None,None,Journal of Public Economics,"Volume 191, November 2020, 104270",24
,Robert,Sarah,None,None,None,Journal of Public Economics,"Volume 191, November 2020, 104250",12
,Jamie,Corey,None,None,None,Journal of Public Economics,"Volume 191, November 2020, 104259",17
,Hanming,Long,Yang,None,None,Journal of Public Economics,"Volume 191, November 2020, 104272",299
,Peter,Pascal,Joseph,None,None,Journal of Public Economics,"Volume 191, November 2020, 104273",72
,Dave,Scott,Jose,Nicholas,Philip,Journal of Public Economics,"Volume 191, November 2020, 104274",488
,Ingar,Christopher,None,None,None,Journal of Public Economics,"Volume 191, November 2020, 104256",69
,Hunt,Levi,Jacob,Matthew,Michael,Journal of Public Economics,"Volume 191, November 2020, 104254",463
,Jacob,Tatiana,Richard,William,None,Journal of Public Economics,"Volume 191, November 2020, 104247",14
,Aurélie,None,None,None,None,Journal of Public Economics,"Volume 191, November 2020, 104285",6
,Pablo,Ricardo,Gustavo,None,None,Journal of Public Economics,"Volume 191, November 2020, 104286",8
,Dean,John,None,None,None,Journal of Public Economics,"Volume 191, November 2020, 104296",17
,None,None,None,None,None,Journal of Public Economics,"Volume 190, October 2020, 104292",0
,Stephen,Sandra,Jenifer,None,None,Journal of Public Economics,"Volume 190, October 2020, 104224",24
,Jessica,Dana,Rohini,Laura,None,Journal of Public Economics,"Volume 190, October 2020, 104227",16
,Yanbo,Christopher,Don,Stephen,None,Journal of Public Economics,"Volume 190, October 2020, 104205",35
,Adam,None,None,None,None,Journal of Public Economics,"Volume 190, October 2020, 104228",9
,Irina,Christian,Casey,None,None,Journal of Public Economics,"Volume 190, October 2020, 104237",0
,Cristina,Matz,Mattias,Till,None,Journal of Public Economics,"Volume 190, October 2020, 104239",7
,Elisa,Christoph,Barbara,None,None,Journal of Public Economics,"Volume 190, October 2020, 104240",18
,Catalina,Esther,Chunbei,None,None,Journal of Public Economics,"Volume 190, October 2020, 104242",8
,Drew,None,None,None,None,Journal of Public Economics,"Volume 190, October 2020, 104253",8
,John,Christopher,Gabriel,None,None,Journal of Public Economics,"Volume 190, October 2020, 104244",58
,Ryan,None,None,None,None,Journal of Public Economics,"Volume 190, October 2020, 104246",3
,Erica,None,None,None,None,Journal of Public Economics,"Volume 190, October 2020, 104251",22
,Unknown,Ezra,Cullen,None,None,Journal of Public Economics,"Volume 190, October 2020, 104258",164
,Hanan,Ghazala,None,None,None,Journal of Public Economics,"Volume 190, October 2020, 104255",4
,Stéphane,Aurélien,None,None,None,Journal of Public Economics,"Volume 190, October 2020, 104260",32
,Jonas,Sophia,Sevrin,None,None,Journal of Public Economics,"Volume 190, October 2020, 104252",34
,Breno,Fredric,Anuj,None,None,Journal of Public Economics,"Volume 190, October 2020, 104249",31
,Helena,Catia,Guillem,None,None,Journal of Public Economics,"Volume 190, October 2020, 104248",2
,William,John,Ronald,Joel,None,Journal of Public Economics,"Volume 190, October 2020, 104261",16
,None,None,None,None,None,Journal of Public Economics,"Volume 189, September 2020, 104278",0
,Camille,Johannes,None,None,None,Journal of Public Economics,"Volume 189, September 2020, 104236",1
,Lasse,Magne,Ola,None,None,Journal of Public Economics,"Volume 189, September 2020, 104163",23
,Jonas,Camille,Johannes,None,None,Journal of Public Economics,"Volume 189, September 2020, 104088",12
,Michael,Shachar,Matthew,Dan,Steven,Journal of Public Economics,"Volume 189, September 2020, 103917",32
,Greg,Kurt,Giovanni,None,None,Journal of Public Economics,"Volume 189, September 2020, 104176",35
,Jonathan,Kjetil,Giovanni,None,None,Journal of Public Economics,"Volume 189, September 2020, 104074",12
,None,None,None,None,None,Journal of Public Economics,"Volume 189, September 2020, 104282",2
,Jonathan,Brent,None,None,None,Journal of Public Economics,"Volume 189, September 2020, 104235",789
,Eliza,Lisa,Fabian,David,None,Journal of Public Economics,"Volume 189, September 2020, 104238",285
,Emily,Riley,None,None,None,Journal of Public Economics,"Volume 189, September 2020, 104241",249
,Sylvain,Max,Natasha,None,None,Journal of Public Economics,"Volume 189, September 2020, 104243",11
,Abi,Teodora,Marta,Christopher,None,Journal of Public Economics,"Volume 189, September 2020, 104245",636
,Edward,Daniel,None,None,None,Journal of Public Economics,"Volume 189, September 2020, 104257",93
,None,None,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104266",0
,Anja,None,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104210",5
,David,Evan,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104201",5
,Nina,Marte,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104204",3
,Anil,Che-Yuan,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104209",11
,Raymond,Keith,Ilyana,Suresh,None,Journal of Public Economics,"Volume 188, August 2020, 104207",31
,Joshua,Irina,Stephen,None,None,Journal of Public Economics,"Volume 188, August 2020, 104211",11
,Matthew,Eric,Shaun,David,None,Journal of Public Economics,"Volume 188, August 2020, 104212",25
,Felipe,None,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104220",22
,Graham,None,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104219",11
,Francisco,Ofer,Cristian,None,None,Journal of Public Economics,"Volume 188, August 2020, 104208",12
,Lucas,None,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104221",3
,Sumit,Keyang,Yu,Jing,Jubo,Journal of Public Economics,"Volume 188, August 2020, 104222",17
,Philipp,Katharina,Ludger,None,None,Journal of Public Economics,"Volume 188, August 2020, 104226",20
,Don,Chi,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104225",15
,Arezou,None,None,None,None,Journal of Public Economics,"Volume 188, August 2020, 104223",8
,None,None,None,None,None,Journal of Public Economics,"Volume 187, July 2020, 104232",0
,Rolf,Anthony,Jørgen,None,None,Journal of Public Economics,"Volume 187, July 2020, 104196",12
,Michael,Lucas,None,None,None,Journal of Public Economics,"Volume 187, July 2020, 104197",5
,Fabrizio,Francesco,None,None,None,Journal of Public Economics,"Volume 187, July 2020, 104188",5
,Benjamin,Keaton,Caroline,None,None,Journal of Public Economics,"Volume 187, July 2020, 104159",29
,Peter,Martin,None,None,None,Journal of Public Economics,"Volume 187, July 2020, 104199",4
,Nathaniel,None,None,None,None,Journal of Public Economics,"Volume 187, July 2020, 104198",34
,Serena,None,None,None,None,Journal of Public Economics,"Volume 187, July 2020, 104206",13
,Laura,Andrew,Unknown,Unknown,None,Journal of Public Economics,"Volume 187, July 2020, 104202",16
,Kenneth,Daniel,Martin,None,None,Journal of Public Economics,"Volume 187, July 2020, 104203",16
,None,None,None,None,None,Journal of Public Economics,"Volume 186, June 2020, 104216",0
,Felipe,Kathryn,Francisco,David,None,Journal of Public Economics,"Volume 186, June 2020, 104185",8
,David,Umut,None,None,None,Journal of Public Economics,"Volume 186, June 2020, 104184",8
,Sergei,Daniel,None,None,None,Journal of Public Economics,"Volume 186, June 2020, 104158",46
,Tatiana,Thomas,Travis,None,None,Journal of Public Economics,"Volume 186, June 2020, 104177",8
,Samuel,Alejandra,None,None,None,Journal of Public Economics,"Volume 186, June 2020, 104186",6
,Alisa,None,None,None,None,Journal of Public Economics,"Volume 186, June 2020, 104187",16
,None,None,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104193",0
,Oscar,Sebastian,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104170",6
,Andrew,Lucie,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104174",6
,Antony,Hélène,Leo,None,None,Journal of Public Economics,"Volume 185, May 2020, 104175",2
,Elena,Chloe,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104173",11
,Maria,Pascaline,Jonathan,None,None,Journal of Public Economics,"Volume 185, May 2020, 104047",45
,Philip,Kelly,Stefanie,John,None,Journal of Public Economics,"Volume 185, May 2020, 104069",4
,Julia,None,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104077",39
,Mariona,None,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104079",15
,David,David,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104082",26
,Tobias,Paul,None,None,None,Journal of Public Economics,"Volume 185, May 2020, 104107",10
,None,None,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104181",0
,Marina,Christopher,Chloe,None,None,Journal of Public Economics,"Volume 184, April 2020, 104126",10
,Junyan,Muyang,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104143",39
,Wolfgang,Gerald,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104146",22
,Ajin,None,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104130",6
,Nicolas,Marion,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104145",22
,Rodrigo,Mark,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104141",19
,Ludvig,None,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104153",25
,Eric,Thomas,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104160",15
,Todd,Michael,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104154",10
,Patrick,None,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104161",60
,Amanda,Peter,Renato,None,None,Journal of Public Economics,"Volume 184, April 2020, 104155",12
,Alisa,None,None,None,None,Journal of Public Economics,"Volume 184, April 2020, 104162",16
,Gianmarco,Sergio,Benny,None,None,Journal of Public Economics,"Volume 184, April 2020, 104172",19
,None,None,None,None,None,Journal of Public Economics,"Volume 183, March 2020, 104167",0
,Jonneke,Nadine,Bas,None,None,Journal of Public Economics,"Volume 183, March 2020, 104080",2
,Miguel,Irem,Ben,Kimberley,None,Journal of Public Economics,"Volume 183, March 2020, 104114",22
,Carolyn,Vladimir,Stéphane,Zachary,None,Journal of Public Economics,"Volume 183, March 2020, 104142",20
,Katharine,Emel,Erkut,Lesley,None,Journal of Public Economics,"Volume 183, March 2020, 104067",17
,Johannes,Niels,Nadine,None,None,Journal of Public Economics,"Volume 183, March 2020, 104138",16
,Han,Jiangyi,Yi,Huihua,None,Journal of Public Economics,"Volume 183, March 2020, 104139",30
,Michael,Melissa,None,None,None,Journal of Public Economics,"Volume 183, March 2020, 104140",11
,John,James,Christopher,David,Brigitte,Journal of Public Economics,"Volume 183, March 2020, 104144",34
,Mauricio,Augustin,Vahé,None,None,Journal of Public Economics,"Volume 183, March 2020, 104137",28
,None,None,None,None,None,Journal of Public Economics,"Volume 182, February 2020, 104150",0
,Lukas,Michael,None,None,None,Journal of Public Economics,"Volume 182, February 2020, 104113",3
,Oscar,Sergei,Emeric,Ekaterina,None,Journal of Public Economics,"Volume 182, February 2020, 104123",105
,Håkan,Laurent,None,None,None,Journal of Public Economics,"Volume 182, February 2020, 104081",3
,Klaus,Michael,Christine,None,None,Journal of Public Economics,"Volume 182, February 2020, 104112",11
,Olga,None,None,None,None,Journal of Public Economics,"Volume 182, February 2020, 104111",9
,Patricia,Stephan,None,None,None,Journal of Public Economics,"Volume 182, February 2020, 104122",7
,Rudolf,Daniel,None,None,None,Journal of Public Economics,"Volume 182, February 2020, 104076",51
,Johannes,Simon,None,None,None,Journal of Public Economics,"Volume 182, February 2020, 104096",7
,Benoît,Sabine,Nicolas,None,None,Journal of Public Economics,"Volume 182, February 2020, 104109",11
,David,Peter,Ignacio,None,None,Journal of Public Economics,"Volume 182, February 2020, 104110",13
,None,None,None,None,None,Journal of Public Economics,"Volume 181, January 2020, 104134",0
,Michael,Deepak,Christopher,None,None,Journal of Public Economics,"Volume 181, January 2020, 104083",46
,Kai,Stephan,None,None,None,Journal of Public Economics,"Volume 181, January 2020, 104073",20
,Jarkko,Tuomas,Joel,None,None,Journal of Public Economics,"Volume 181, January 2020, 104108",4
,Anne,Kristin,Jesper,None,None,Journal of Public Economics,"Volume 181, January 2020, 104115",15
,Daniel,None,None,None,None,Journal of Public Economics,"Volume 181, January 2020, 104075",5
